variable,mean,median,sd,mad,q5,q95,term
b_Intercept,35.526323102350204,35.5018692491222,1.1221553282019003,1.1199717699527376,29.44488424025661,43.04382337627521,Multiplicative
b_branch_air_force,1.2065850770172035,1.2067362303871316,1.1556886382758556,1.1571746723701737,0.9512229624406913,1.5307786262479635,Multiplicative
b_branch_coast_guard,1.8829807535547205,1.8465566047517932,1.6614993148307595,1.645019816548798,0.8400238934214257,4.448080589824108,Multiplicative
b_branch_marines,1.1235906292202316,1.1172850555742937,1.2075322444694794,1.2023183086136013,0.8290478938299642,1.5467668891653363,Multiplicative
b_branch_navy,0.9449265000052752,0.9445420992305383,1.1650329205427612,1.1647267637432648,0.7375505217844156,1.2171518667282077,Multiplicative
b_branch_public_health,0.5257679216770735,0.507787056196501,2.014595405947768,1.969835309707409,0.17629051347789562,1.7517233994078607,Multiplicative
b_foreign_born,2.0136732199434424,1.9309029051061986,1.8122230146327416,1.7659258778207527,0.8220498105382545,5.621762686421872,Multiplicative
b_gender_female,0.9310001188299651,0.9297079778088249,1.1410286243946468,1.1418397420732445,0.7519899304357057,1.1579842511324632,Multiplicative
b_gender_nonbinary,0.5704284255426212,0.5524742047032899,1.9466951258733287,1.8984237307550174,0.2013738939478291,1.7815049827488907,Multiplicative
b_military_exp_combat,0.8829168389685784,0.8838055602556132,1.1476557917032717,1.1474889641707218,0.703225713407885,1.107734498147004,Multiplicative
b_military_exp_noncombat,1.001606021658492,1.0035781747874124,1.149859638581915,1.1484077438539742,0.7938582524777168,1.2577973767007604,Multiplicative
b_military_exp_peacekeeping,1.0936012925791376,1.0932805843032902,1.1493210415161956,1.1490341962892237,0.8701768605545294,1.3745624392858808,Multiplicative
b_military_exp_support,0.933814346874034,0.9339870345385688,1.136351894480961,1.134610984524989,0.757316581539444,1.1535804950400914,Multiplicative
b_mios_total,1.0680944783204809,1.0687319438683374,1.0813667855717377,1.080587369737325,0.9397931825871709,1.2137579936340486,Multiplicative
b_pcl_total,1.654772535684834,1.6552923835121462,1.0900932836237078,1.0883164006273158,1.4320780038253669,1.9081541248748435,Multiplicative
b_race_asian,1.3197585165015182,1.3076107081529549,1.404466804382568,1.3965006413853733,0.7682618580084017,2.377757257188554,Multiplicative
b_race_black,0.9360871994551857,0.9332202295081534,1.2070011851018332,1.2061693343312627,0.6925456455093206,1.2821523939889272,Multiplicative
b_race_latino,1.427782660638949,1.4175540125705002,1.3502163620158862,1.3494953145698791,0.8865345688265042,2.3674489037977526,Multiplicative
b_race_native,0.5811391263182024,0.5727963646422258,1.449362628661159,1.447218696433967,0.3257752573464432,1.0988753859917726,Multiplicative
b_race_other,0.43971091550365254,0.42152973430794527,1.8230794565570774,1.7918885077395421,0.1796820731583633,1.2590097647635445,Multiplicative
b_race_pacific,3.553463427401665,3.428164374019367,2.034595229435569,1.9920192120115314,1.1842611914265035,11.903400076245513,Multiplicative
b_rank_e1_e3,1.04912603070362,1.0486779357327976,1.1805076115803586,1.1777298518489452,0.8021167248491012,1.3786438140249893,Multiplicative
b_rank_e7_e9,0.7972366520731213,0.7954430173564829,1.1872494070312432,1.1849696363079596,0.6042857372468355,1.0599940792021214,Multiplicative
b_rank_o1_o3,0.6566607789987667,0.6538071491407339,1.4816971623149582,1.4767477303518741,0.34564711092795586,1.2560247170094168,Multiplicative
b_rank_o4_o6,0.8604038957723522,0.8537195968792907,1.3266480695777247,1.3202722641953397,0.5465829190104253,1.3900452916046573,Multiplicative
b_rank_w1_cw5,0.6784076419935544,0.663184375298868,1.522953413672026,1.5011779423583214,0.3528949847270299,1.411533118114619,Multiplicative
b_service_era_cold_war,0.7042574442111907,0.7025786723037901,1.148191496660067,1.1428000676977816,0.5620912079670566,0.8884812167642777,Multiplicative
b_service_era_persian_gulf,1.2744951483148752,1.275855099386734,1.1231475899978298,1.120991679711022,1.0498495021386538,1.5426447082536645,Multiplicative
b_service_era_vietnam,1.2113120762675387,1.205894210334355,1.3897387126634009,1.3807870837979976,0.715990151503121,2.111399953394103,Multiplicative
b_hu_Intercept,3.430324289886531e-9,5.3766437270457766e-9,154.3654074266063,139.2675301151066,4.3599877988258696e-13,5.51197946372032e-6,Odds Ratio
b_hu_branch_air_force,60.17539659328042,48.51090169978711,29.07385503221081,25.39384451866161,0.3394199237659432,21915.197282941455,Odds Ratio
b_hu_branch_coast_guard,5.578911937592601e-22,1.302891087798195e-13,480874908685198e14,4818892163267306e5,6.461961694161792e-80,48074973.585721575,Odds Ratio
b_hu_branch_marines,18238.651859721605,10157.468736666053,360.97914832396725,281.01755105395745,3.5468460784674014,728164214.4329014,Odds Ratio
b_hu_branch_navy,9.124688966698244,9.18639789190662,1976.9064555293521,1558.625192994024,4.024774421572729e-5,2276473.4020826234,Odds Ratio
b_hu_branch_public_health,2.3318475607171177e-31,1.6539465854537494e-14,5001015433693719e42,9516513032840519e26,1.0607657756235433e-146,24152320976181198e11,Odds Ratio
b_hu_foreign_born,1267.656882353145,1926.1120148755847,361667.6516968329,298638.76717527315,4.806529475637218e-7,932004285688.8271,Odds Ratio
b_hu_gender_female,7.58921862918153e-8,1.4499044402114536e-7,836.9404669249417,706.0252645962132,3.4890893080919353e-13,0.001307337117906821,Odds Ratio
b_hu_gender_nonbinary,1.1985984436908153e-70,1.0609820364168608e-53,3465395467181789e42,11486068443003972e26,8.978113631069892e-186,8.917828229428814e-15,Odds Ratio
b_hu_military_exp_combat,13278.113151291165,12201.86636794439,268.2945384803236,225.15449497153463,1.4877343131829894,138639583.6131822,Odds Ratio
b_hu_military_exp_noncombat,0.011004366920280615,0.013126336462159374,21.822959862127224,20.24278200047199,5.145739470330763e-5,1.2477097677389826,Odds Ratio
b_hu_military_exp_peacekeeping,9.804749945353095e-5,1.398058756608768e-4,280.1418173160414,249.2805610669973,5.3845618206588135e-9,0.5354580634746854,Odds Ratio
b_hu_military_exp_support,8.785718560958626e-4,0.0010091212765869872,87.65360527966551,75.55743739104868,4.0110287355904186e-7,0.9241399264996335,Odds Ratio
b_hu_mios_total,0.0015189976233108244,0.001996923964770821,17.735324345027635,15.927138912720045,8.819561550578166e-6,0.10865843453130984,Odds Ratio
b_hu_pcl_total,3.1328809570728606e-4,4.0473015373487364e-4,31.932915601718427,29.101348223247392,7.09003694193352e-7,0.05751103451393429,Odds Ratio
b_hu_race_asian,865907281.3173823,508208319.8863614,18403.359514713666,13814.660810581861,209.03439127861373,19697200225075420,Odds Ratio
b_hu_race_black,10360.049282123497,8911.704463667455,87.77502658300813,80.77933468046287,8.184329546448694,19456970.611128148,Odds Ratio
b_hu_race_latino,1.4000517555877463,5.074938466364201,53245.38556124898,26803.7177022126,2.9667348974513495e-9,9198398.492831573,Odds Ratio
b_hu_race_native,753732.9701008243,645540.0291680736,45997.406547130275,28698.396132467526,0.0157321841348962,41020694533023.914,Odds Ratio
b_hu_race_other,1.0510501250528444e-54,2.5759217746045987e-37,1234172527667602e42,7278735690493689e25,6.994233298095516e-172,4.919098539313818,Odds Ratio
b_hu_race_pacific,4.611423750154408e-50,8.122188696828522e-34,7173966219438269e39,4890966019313302e25,1.4869780097661586e-160,393681.2694075095,Odds Ratio
b_hu_rank_e1_e3,2.910703480826188e-6,1.0576420667231817e-5,8604.966103085246,3973.9626441314313,2.1043037638809228e-13,0.7160527170979966,Odds Ratio
b_hu_rank_e7_e9,1.0062325357639101,1.2011739076643932,324.0929718873894,273.9972418920505,6.037949061748409e-5,7934.211078354411,Odds Ratio
b_hu_rank_o1_o3,1154.0571093838882,915.3472486478296,177.25260382941244,154.73516311963095,0.37077476153765965,8213660.98647834,Odds Ratio
b_hu_rank_o4_o6,0.03879605727275865,0.043075951820188745,964.578836561371,685.2674839773672,4.4800654287785637e-7,2252.914825971174,Odds Ratio
b_hu_rank_w1_cw5,1.7601202961486524e-23,3.643606161413592e-15,4927338694852357e13,23739410976163047e4,1.4241915886479914e-79,208873.5972215776,Odds Ratio
b_hu_service_era_cold_war,4.474921360610803,4.667695355608652,47.5166087009492,41.74638206002507,0.007122837198472211,2304.109703388075,Odds Ratio
b_hu_service_era_persian_gulf,0.007653191519188171,0.009798763742377712,24.594991734244516,22.424906990826663,2.7546536421403716e-5,0.9182104400089748,Odds Ratio
b_hu_service_era_vietnam,1.8767005376325698e-18,1.9535208369306592e-14,257741235471620.3,20051109641.83495,4.560064967666726e-47,0.0015268522282831645,Odds Ratio
